,age,sex,years_study,color_race,salary,civil_status,region
0,53,man,5.0,brown,63600.0,married,north
1,49,woman,8.0,yellow,12422.391189513477,married,north
2,22,woman,11.0,indigenous,4352.400390625,not_married,northeast
3,55,man,15.0,yellow,96600.0,married,north
4,56,woman,15.0,yellow,157800.0,married,north
5,30,woman,15.0,yellow,88550.0,not_married,northeast
6,52,woman,5.0,white,6734.400390625,not_married,north
7,29,man,5.0,brown,14875.20068359375,not_married,north
8,29,woman,11.0,brown,6734.400390625,not_married,north
9,46,woman,15.0,white,54300.0,married,north
10,52,man,11.0,white,42768.0,married,north
11,22,woman,13.0,white,34500.0,not_married,north
12,26,woman,11.0,brown,981.0,married,north
13,20,man,7.0,brown,1581.5999755859375,married,north
14,30,woman,5.0,brown,5136.0,married,north
15,48,man,5.0,brown,12422.391189513477,married,north
16,30,woman,5.0,brown,12422.391189513477,not_married,north
17,27,woman,6.0,brown,3712.0,not_married,north
18,33,man,6.0,brown,10256.7998046875,married,north
19,30,woman,11.0,brown,378.0,married,north
20,34,woman,15.0,black,15187.19921875,not_married,north
21,28,woman,15.0,black,12422.391189513477,not_married,north
22,25,man,11.0,brown,16560.0,married,north
23,26,woman,11.0,black,7792.19970703125,married,north
24,32,man,7.0,black,8904.0,married,north
25,36,woman,5.0,brown,2805.2000122070312,married,north
26,40,man,5.0,brown,24564.0,married,north
27,38,woman,5.0,brown,31044.0,married,north
28,27,man,9.0,brown,5550.0,married,north
29,25,woman,11.0,white,12422.391189513477,married,north
30,42,woman,15.0,white,38844.2783203125,married,north
31,43,man,15.0,brown,2034.0,married,north
32,25,man,8.0,brown,2476.47998046875,married,north
33,22,woman,5.0,white,12422.391189513477,married,north
34,31,woman,11.0,white,7062.0,not_married,north
35,60,woman,5.0,brown,4240.0,not_married,north
36,24,woman,11.0,black,7233.240234375,not_married,north
37,22,man,9.0,brown,5428.2001953125,not_married,north
38,28,woman,11.0,brown,2180.0,not_married,north
39,30,man,11.0,brown,5203.60009765625,not_married,north
40,55,woman,10.0,brown,5328.599609375,not_married,north
41,32,woman,8.0,yellow,723.2000122070312,not_married,north
42,35,man,5.0,brown,24564.0,married,north
43,31,woman,5.0,brown,12422.391189513477,married,north
44,40,man,5.0,brown,15960.0,not_married,north
45,58,woman,5.0,brown,12422.391189513477,not_married,north
46,48,man,6.0,brown,25440.0,married,north
47,27,woman,5.0,brown,5940.0,married,northeast
48,24,man,5.0,brown,6300.0,not_married,north
49,31,man,6.0,white,13080.0,married,north
50,30,woman,5.0,black,2199.0,married,north
51,41,man,5.0,brown,24091.2001953125,not_married,north
52,47,man,5.0,brown,12422.391189513477,not_married,north
53,32,man,10.0,brown,12422.391189513477,not_married,north
54,37,man,5.0,white,52320.0,married,north
55,29,woman,11.0,brown,12422.391189513477,married,northeast
56,58,man,5.0,brown,15120.0,married,north
57,34,woman,5.0,white,0.0,married,north
58,35,woman,8.0,white,3780.0,not_married,north
59,49,woman,11.0,white,23674.80078125,not_married,north
60,46,man,11.0,brown,23544.0,married,north
61,39,woman,11.0,white,23544.0,married,north
62,26,man,7.0,brown,8652.0,not_married,north
63,23,woman,10.0,brown,12422.391189513477,not_married,north
64,27,woman,5.0,brown,6489.0,not_married,north
65,45,woman,14.0,white,19080.0,not_married,north
66,41,man,8.0,brown,10747.80078125,not_married,north
67,27,woman,11.0,black,3985.449951171875,not_married,north
68,26,man,11.0,black,3195.5,not_married,north
69,28,man,11.0,brown,31392.0,not_married,north
70,40,man,11.0,black,13812.48046875,not_married,north
71,41,woman,5.0,brown,12422.391189513477,not_married,north
72,27,man,7.0,brown,12422.391189513477,not_married,north
73,26,woman,11.0,brown,1278.0,not_married,north
74,23,woman,7.0,brown,1291.5,not_married,north
75,22,man,11.0,brown,3270.0,not_married,north
76,21,woman,8.0,brown,1726.4000244140625,not_married,north
77,23,man,11.0,brown,12422.391189513477,not_married,north
78,25,man,11.0,brown,12422.391189513477,not_married,north
79,43,woman,10.0,indigenous,3296.0,married,north
80,46,man,11.0,white,12422.391189513477,married,north
81,21,woman,11.0,brown,12422.391189513477,not_married,north
82,27,man,5.0,brown,5288.400390625,not_married,north
83,52,man,5.0,brown,5129.400390625,not_married,north
84,50,woman,8.0,brown,5179.2001953125,not_married,north
85,26,man,11.0,brown,12422.391189513477,not_married,north
86,23,man,13.0,brown,6104.0,not_married,north
87,23,woman,11.0,brown,12422.391189513477,not_married,north
88,35,man,8.0,brown,6092.099853515625,married,north
89,34,woman,6.0,brown,9450.0,married,north
90,52,man,15.0,brown,12422.391189513477,married,north
91,49,woman,13.0,brown,21624.0,married,north
92,22,man,12.0,brown,12422.391189513477,not_married,north
93,27,man,9.0,white,1671.2000122070312,not_married,north
94,22,man,10.0,white,4987.6000061035165,not_married,north
95,55,man,5.0,brown,6249.599609375,married,north
96,48,woman,11.0,brown,6249.599609375,married,north
97,21,woman,15.0,brown,6249.599609375,not_married,north
98,40,man,11.0,brown,1562.39990234375,not_married,north
99,26,woman,14.0,brown,6249.599609375,not_married,north
100,45,man,5.0,brown,1826.0,not_married,north
101,33,man,11.0,black,5670.0,married,north
102,35,woman,8.0,brown,5670.0,married,north
103,50,woman,6.0,black,12422.391189513477,married,north
104,51,man,5.0,brown,12422.391189513477,married,north
105,29,man,11.0,brown,4938.1201171875,not_married,north
106,29,woman,10.0,white,12422.391189513477,not_married,north
107,25,man,10.0,brown,10544.400390625,married,north
108,23,woman,7.0,brown,12422.391189513477,married,north
109,27,woman,10.0,black,12422.391189513477,married,north
110,38,man,7.0,brown,3030.0,married,north
111,29,woman,5.0,white,4863.599609375,married,north
112,28,man,11.0,brown,15756.0,married,north
113,56,woman,5.0,brown,12422.391189513477,not_married,north
114,29,man,9.0,brown,2965.7999877929688,not_married,north
115,50,woman,5.0,brown,12422.391189513477,not_married,north
116,28,man,11.0,brown,7070.0,not_married,north
117,27,man,11.0,brown,7514.400390625,not_married,north
118,24,woman,12.0,brown,6241.80029296875,not_married,north
119,20,man,11.0,brown,3636.0,not_married,north
120,44,woman,5.0,brown,12422.391189513477,not_married,north
121,24,man,6.0,brown,12422.391189513477,not_married,north
122,22,woman,11.0,brown,12422.391189513477,not_married,north
123,20,woman,9.0,brown,12422.391189513477,not_married,north
124,57,man,5.0,brown,6605.400390625,married,north
125,47,woman,5.0,brown,12422.391189513477,married,north
126,51,man,11.0,white,39449.28125,married,north
127,45,woman,9.0,brown,12422.391189513477,married,north
128,29,man,8.0,white,6060.0,not_married,north
129,27,woman,11.0,brown,8484.0,not_married,north
130,57,man,5.0,black,1100.0,married,north
131,52,woman,5.0,brown,12422.391189513477,married,north
132,29,man,14.0,brown,9600.0,not_married,north
133,26,woman,11.0,brown,5400.0,not_married,north
134,24,woman,11.0,brown,5880.0,not_married,north
135,27,woman,11.0,brown,12422.391189513477,not_married,north
136,34,man,12.0,brown,43680.0,married,north
